Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"Aug 29, 2018",113.28,113.25,113.3,113.24,-,0.04%
"Aug 28, 2018",113.24,113.36,113.39,113.21,-,-0.33%
"Aug 27, 2018",113.61,113.73,113.75,113.58,1.50M,-0.08%
"Aug 24, 2018",113.7,113.69,113.75,113.59,1.19M,-0.04%
"Aug 23, 2018",113.75,113.8,113.83,113.69,1.45M,-0.04%
"Aug 22, 2018",113.8,113.77,113.87,113.73,919.95K,0.09%
"Aug 21, 2018",113.7,113.84,113.84,113.66,628.12K,-0.11%
"Aug 20, 2018",113.82,113.62,113.85,113.59,655.68K,0.20%
"Aug 17, 2018",113.59,113.62,113.73,113.57,638.17K,-0.01%
"Aug 16, 2018",113.6,113.66,113.7,113.52,693.61K,-0.11%
"Aug 15, 2018",113.72,113.5,113.8,113.48,895.89K,0.17%
"Aug 14, 2018",113.53,113.57,113.62,113.48,673.74K,-0.08%
"Aug 13, 2018",113.62,113.69,113.78,113.55,1.13M,-0.07%
"Aug 10, 2018",113.7,113.32,113.73,113.31,1.22M,0.35%
"Aug 09, 2018",113.3,113.2,113.34,113.18,662.56K,0.10%
"Aug 08, 2018",113.19,113.16,113.24,113.14,579.48K,0.03%
"Aug 07, 2018",113.16,113.34,113.34,113.14,550.15K,-0.16%
"Aug 06, 2018",113.34,113.3,113.4,113.23,513.21K,0.04%
"Aug 03, 2018",113.3,113.09,113.3,113.06,722.78K,0.16%
"Aug 02, 2018",113.12,113.02,113.13,112.98,702.37K,0.10%
"Aug 01, 2018",113.01,113.09,113.2,112.95,862.24K,-0.10%
"Jul 31, 2018",113.12,113.12,113.27,113.09,1.06M,0.00%
"Jul 30, 2018",113.12,113.15,113.16,113.04,566.14K,0.00%
"Jul 27, 2018",113.12,113.06,113.16,113.03,626.05K,0.04%
"Jul 26, 2018",113.08,113.1,113.2,113.04,710.47K,-0.15%
"Jul 25, 2018",113.25,113.2,113.27,113.08,989.55K,0.03%
"Jul 24, 2018",113.22,113.23,113.29,113.14,755.15K,0.04%
"Jul 23, 2018",113.18,113.48,113.55,113.17,854.14K,-0.26%
"Jul 20, 2018",113.48,113.6,113.63,113.45,735.63K,-0.10%
"Jul 19, 2018",113.59,113.45,113.66,113.31,924.97K,0.12%
"Jul 18, 2018",113.45,113.45,113.54,113.41,468.09K,-0.02%
"Jul 17, 2018",113.47,113.52,113.55,113.44,453.38K,-0.04%
"Jul 16, 2018",113.51,113.64,113.64,113.41,612.62K,-0.11%
"Jul 13, 2018",113.63,113.55,113.65,113.48,530.57K,0.13%
"Jul 12, 2018",113.48,113.5,113.55,113.39,656.48K,-0.06%
"Jul 11, 2018",113.55,113.55,113.65,113.43,798.49K,0.12%
"Jul 10, 2018",113.41,113.52,113.52,113.4,544.59K,-0.09%
"Jul 09, 2018",113.51,113.66,113.66,113.48,470.66K,-0.11%
"Jul 06, 2018",113.64,113.61,113.81,113.54,555.41K,0.08%
"Jul 05, 2018",113.55,113.64,113.67,113.5,592.59K,-0.04%
"Jul 04, 2018",113.6,113.64,113.65,113.57,-,-0.02%
"Jul 03, 2018",113.62,113.47,113.66,113.41,629.29K,0.10%
"Jul 02, 2018",113.51,113.56,113.75,113.47,637.80K,-0.39%
"Jun 29, 2018",113.95,113.94,113.97,113.92,0.17K,0.02%
"Jun 28, 2018",113.93,114.0,114.01,114.0,10.59K,-0.10%
"Jun 27, 2018",114.04,113.95,114.03,113.95,2.02K,0.20%
"Jun 26, 2018",113.81,113.79,113.8,113.78,0.38K,-0.01%
"Jun 25, 2018",113.82,113.83,113.83,113.76,1.44K,0.12%
"Jun 22, 2018",113.68,113.63,113.72,113.59,2.60K,-0.02%
"Jun 21, 2018",113.7,113.48,113.74,113.45,1.83K,0.13%
"Jun 20, 2018",113.55,113.68,113.68,113.55,1.79K,-0.11%
"Jun 19, 2018",113.67,113.7,113.78,113.69,4.22K,0.13%
"Jun 18, 2018",113.52,113.53,113.62,113.52,11.38K,0.00%
"Jun 15, 2018",113.52,113.49,113.66,113.48,2.60K,0.06%
"Jun 14, 2018",113.45,113.38,113.5,113.34,6.49K,0.10%
"Jun 13, 2018",113.34,113.45,113.52,113.19,13.54K,-0.14%
"Jun 12, 2018",113.5,113.54,113.56,113.41,3.79K,-0.03%
"Jun 11, 2018",113.53,113.55,113.57,113.5,3.63K,-0.11%
"Jun 08, 2018",113.65,113.66,113.82,113.57,6.44K,0.03%
"Jun 07, 2018",113.62,113.47,113.88,113.4,37.89K,0.13%
"Jun 06, 2018",113.47,113.66,113.67,113.44,13.08K,-0.20%
"Jun 05, 2018",113.7,113.54,113.79,113.54,29.80K,0.11%
"Jun 04, 2018",113.58,113.76,113.77,113.53,40.93K,-0.18%
"Jun 01, 2018",113.78,114.05,114.05,113.64,72.41K,-0.29%
"May 31, 2018",114.11,114.06,114.14,113.89,210.46K,0.01%
"May 30, 2018",114.1,114.57,114.7,113.97,1.64M,-0.42%
"May 29, 2018",114.58,113.68,114.62,113.57,4.29M,0.89%
"May 28, 2018",113.57,113.3,113.68,113.29,-,0.24%
"May 27, 2018",113.3,113.4,113.4,113.28,-,-0.34%
"May 25, 2018",113.69,113.45,113.76,113.38,2.21M,0.21%
"May 24, 2018",113.45,113.39,113.59,113.32,1.95M,0.07%
"May 23, 2018",113.37,113.06,113.41,113.05,2.10M,0.27%
"May 22, 2018",113.07,113.04,113.09,112.97,871.14K,0.01%
"May 21, 2018",113.06,113.02,113.09,112.96,815.67K,-0.02%
"May 18, 2018",113.08,112.88,113.11,112.84,847.98K,0.16%
